flight_id,departure_time,arrival_time,airline,origin_airport,destination_airport,weather_condition,airport_congestion,delay_time,temperature,wind_speed,hour,passengers
1,2025-01-07 05:29:40,2025-01-07 08:29:40,JetStream Airlines,CPT,SYD,Icy,Medium,94,22,9,5,268
2,2025-01-11 22:49:40,2025-01-12 01:49:40,SkyHigh Airways,SCL,LHR,Hazy,High,111,28,49,22,356
3,2025-09-15 04:01:40,2025-09-15 07:01:40,CloudNine Aviation,FRA,HKG,Hot,High,13,16,46,4,386
4,2024-12-08 11:07:40,2024-12-08 15:07:40,CloudNine Aviation,AMS,AMS,Hazy,High,35,37,43,11,174
5,2024-12-21 12:28:40,2024-12-21 13:28:40,EagleFly Express,LAX,NRT,Hazy,Low,117,39,11,12,389
6,2024-12-08 16:58:40,2024-12-08 18:58:40,JetStream Airlines,HKG,AMS,Stormy,High,108,19,21,16,329
7,2025-07-26 05:43:40,2025-07-26 08:43:40,EagleFly Express,LAX,AMS,Hot,Medium,63,33,10,5,281
8,2025-04-04 06:04:40,2025-04-04 11:04:40,Sunset Skies Air,HKG,SYD,Cloudy,High,77,32,49,6,298
9,2025-09-06 08:15:40,2025-09-06 10:15:40,EagleFly Express,SCL,SYD,Cloudy,Severe,75,-2,3,8,180
10,2025-05-01 18:00:40,2025-05-01 23:00:40,JetStream Airlines,SCL,NRT,Stormy,Low,16,37,28,18,289
11,2025-06-22 22:01:40,2025-06-23 00:01:40,SkyHigh Airways,AMS,DXB,Hot,Low,50,34,24,22,207
12,2025-08-22 19:49:40,2025-08-23 00:49:40,Sunset Skies Air,LHR,HKG,Hazy,Medium,48,19,6,19,301
13,2025-01-06 15:22:40,2025-01-06 20:22:40,JetStream Airlines,LAX,HND,Foggy,Low,42,8,17,15,340
14,2025-03-24 15:42:40,2025-03-24 17:42:40,Sunset Skies Air,SYD,HND,Stormy,Medium,48,-6,26,15,195
15,2025-01-18 03:34:40,2025-01-18 04:34:40,EagleFly Express,NRT,DXB,Windy,Severe,97,32,16,3,251
16,2025-01-25 04:43:40,2025-01-25 09:43:40,Sunset Skies Air,GRU,NRT,Hot,Medium,7,-4,44,4,182
17,2025-08-17 17:08:40,2025-08-17 19:08:40,SkyHigh Airways,CDG,LAX,Snowy,Medium,103,22,17,17,289
18,2024-10-23 03:40:40,2024-10-23 07:40:40,JetStream Airlines,SCL,GRU,Hot,High,71,19,28,3,171
19,2025-03-03 22:05:40,2025-03-03 23:05:40,SkyHigh Airways,GRU,SYD,Snowy,High,1,36,41,22,306
20,2024-12-21 21:56:40,2024-12-22 02:56:40,CloudNine Aviation,FRA,FRA,Snowy,High,27,32,43,21,178
21,2025-01-19 10:33:40,2025-01-19 14:33:40,CloudNine Aviation,CPT,AMS,Rainy,Medium,59,38,46,10,205
22,2025-03-18 06:59:40,2025-03-18 10:59:40,BlueHorizon Airlines,FRA,SYD,Rainy,Severe,68,25,10,6,303
23,2025-06-22 05:23:40,2025-06-22 08:23:40,SkyHigh Airways,HND,SYD,Snowy,Low,49,36,2,5,181
24,2025-07-03 15:38:40,2025-07-03 20:38:40,Sunset Skies Air,HND,SCL,Cloudy,Medium,104,-5,41,15,242
25,2024-11-18 08:48:40,2024-11-18 13:48:40,Sunset Skies Air,ORD,SFO,Cloudy,Medium,42,10,41,8,362
26,2025-04-09 17:26:40,2025-04-09 21:26:40,CloudNine Aviation,HKG,LAX,Foggy,Low,103,-7,48,17,170
27,2025-01-15 17:49:40,2025-01-15 22:49:40,JetStream Airlines,ORD,GRU,Cloudy,Low,28,17,46,17,277
28,2025-08-18 08:30:40,2025-08-18 10:30:40,CloudNine Aviation,HND,LHR,Windy,Medium,31,7,43,8,313
29,2025-02-14 04:44:40,2025-02-14 05:44:40,JetStream Airlines,HND,GRU,Stormy,Low,76,1,35,4,280
30,2025-08-08 18:10:40,2025-08-08 20:10:40,SkyHigh Airways,DXB,AMS,Icy,High,94,14,41,18,390
31,2025-03-27 16:19:40,2025-03-27 17:19:40,EagleFly Express,GRU,AMS,Rainy,High,41,-5,7,16,245
32,2025-06-27 05:54:40,2025-06-27 08:54:40,Sunset Skies Air,HKG,CPT,Windy,High,91,6,38,5,294
33,2025-05-20 14:01:40,2025-05-20 19:01:40,CloudNine Aviation,HKG,JFK,Hot,Severe,120,38,25,14,390
34,2025-04-12 00:35:40,2025-04-12 02:35:40,JetStream Airlines,AMS,HND,Snowy,High,100,-10,35,0,261
35,2025-08-04 04:43:40,2025-08-04 07:43:40,BlueHorizon Airlines,HND,CDG,Hot,High,74,31,0,4,367
36,2025-01-03 15:20:40,2025-01-03 19:20:40,Sunset Skies Air,LHR,GRU,Foggy,High,61,30,50,15,224
37,2025-09-03 04:21:40,2025-09-03 05:21:40,BlueHorizon Airlines,AMS,NRT,Cloudy,Medium,11,-7,13,4,256
38,2024-10-03 10:35:40,2024-10-03 13:35:40,Sunset Skies Air,FRA,DXB,Windy,High,24,12,5,10,350
39,2024-12-31 09:13:40,2024-12-31 14:13:40,EagleFly Express,JFK,FRA,Cloudy,Medium,55,5,21,9,327
40,2025-01-07 11:39:40,2025-01-07 12:39:40,CloudNine Aviation,NRT,GRU,Snowy,High,86,-8,46,11,346
41,2025-04-19 05:09:40,2025-04-19 06:09:40,Sunset Skies Air,AMS,SCL,Sunny,Severe,64,17,5,5,320
42,2025-07-07 07:31:40,2025-07-07 10:31:40,CloudNine Aviation,SYD,CPT,Hazy,High,66,-9,19,7,170
43,2025-02-01 16:30:40,2025-02-01 19:30:40,JetStream Airlines,HKG,ORD,Sunny,Medium,17,-9,14,16,256
44,2025-03-24 14:14:40,2025-03-24 17:14:40,SkyHigh Airways,ORD,FRA,Hot,Low,119,12,14,14,173
45,2025-02-17 05:12:40,2025-02-17 09:12:40,JetStream Airlines,SCL,ORD,Stormy,Severe,58,27,20,5,253
46,2025-04-10 01:59:40,2025-04-10 04:59:40,EagleFly Express,FRA,JFK,Cold,Low,77,4,36,1,193
47,2025-02-12 13:44:40,2025-02-12 18:44:40,JetStream Airlines,HND,AMS,Hazy,Low,63,37,45,13,303
48,2024-12-26 06:55:40,2024-12-26 08:55:40,EagleFly Express,NRT,FRA,Hot,Low,27,30,12,6,335
49,2025-06-16 04:13:40,2025-06-16 08:13:40,Sunset Skies Air,SYD,SCL,Sunny,Low,49,32,36,4,231
